Show/Hide,Cpd,File,ID Source,Name,Formula,Saturated,RT,m/z,Mass,Score,Score (Lib),Score (DB),Score (MFG),RT Diff (Tgt),"Diff (Tgt, ppm)","Diff (DB, ppm)","Diff (MFG, ppm)",Polarity,Ions,Height,Area,Vol,Hits (DB),Algorithm,Library,Uncertainty,Significance,Quality Score,FIs Conf.,FIs Conf. %,FIs Eval.,Source,Flag Severity (Tgt)
TRUE,71,SLZ_200313_09.d,,,,,0.684,374.9777,375.985,,,,,,,,,Negative,6,17074,,179028,,Find by Molecular Feature,,,,58.2,,,,,
TRUE,3828,SLZ_200313_09.d,,,,,62.411,375.2734,376.2807,,,,,,,,,Negative,4,40750,,4418140,,Find by Molecular Feature,,,,60,,,,,
TRUE,411,SLZ_200313_09.d,,,,,0.971,375.3582,376.3655,,,,,,,,,Negative,4,6042,,56435,,Find by Molecular Feature,,,,49.5,,,,,
TRUE,438,SLZ_200313_09.d,,,,,0.974,375.6834,376.6907,,,,,,,,,Negative,3,8945,,44170,,Find by Molecular Feature,,,,36,,,,,
TRUE,134,SLZ_200313_09.d,,,,,0.719,376.9117,377.919,,,,,,,,,Negative,7,16349,,344477,,Find by Molecular Feature,,,,64.5,,,,,
TRUE,807,SLZ_200313_09.d,,,,,1.022,378.2375,379.2448,,,,,,,,,Negative,3,18557,,68547,,Find by Molecular Feature,,,,35.7,,,,,
TRUE,778,SLZ_200313_09.d,,,,,1.019,378.4362,379.4435,,,,,,,,,Negative,2,16420,,69152,,Find by Molecular Feature,,,,36.4,,,,,
TRUE,824,SLZ_200313_09.d,,,,,1.026,378.8364,379.8436,,,,,,,,,Negative,3,5502,,24352,,Find by Molecular Feature,,,,35,,,,,
TRUE,1003,SLZ_200313_09.d,,,,,1.251,378.9215,379.9288,,,,,,,,,Negative,3,30581,,929978,,Find by Molecular Feature,,,,94.4,,,,,
TRUE,1013,SLZ_200313_09.d,,,,,2.102,378.9216,379.9288,,,,,,,,,Negative,2,10682,,236009,,Find by Molecular Feature,,,,32.7,,,,,
TRUE,3842,SLZ_200313_09.d,,,,,62.455,379.0006,380.0079,,,,,,,,,Negative,4,165462,,8327630,,Find by Molecular Feature,,,,74.6,,,,,
TRUE,234,SLZ_200313_09.d,,,,,0.856,379.0517,380.059,,,,,,,,,Negative,2,8882,,42750,,Find by Molecular Feature,,,,33.7,,,,,
TRUE,626,SLZ_200313_09.d,,,,,0.996,379.6972,380.7044,,,,,,,,,Negative,3,15484,,87431,,Find by Molecular Feature,,,,35,,,,,
TRUE,442,SLZ_200313_09.d,,,,,0.975,380.3612,381.3685,,,,,,,,,Negative,3,7371,,54659,,Find by Molecular Feature,,,,49.3,,,,,
TRUE,20,SLZ_200313_09.d,,,,,0.579,380.8218,381.8292,,,,,,,,,Negative,6,52322,,286908,,Find by Molecular Feature,,,,35,,,,,
TRUE,1007,SLZ_200313_09.d,,,,,1.27,380.9948,382.002,,,,,,,,,Negative,2,11337,,317872,,Find by Molecular Feature,,,,80,,,,,
TRUE,145,SLZ_200313_09.d,,,,,0.732,381.0505,382.0578,,,,,,,,,Negative,3,9525,,59233,,Find by Molecular Feature,,,,57.5,,,,,
TRUE,647,SLZ_200313_09.d,,,,,0.999,381.2948,382.3021,,,,,,,,,Negative,3,8637,,85448,,Find by Molecular Feature,,,,50.2,,,,,
TRUE,749,SLZ_200313_09.d,,,,,1.013,381.7959,382.8031,,,,,,,,,Negative,3,4474,,29205,,Find by Molecular Feature,,,,40.6,,,,,
TRUE,823,SLZ_200313_09.d,,,,,1.025,381.8392,382.8465,,,,,,,,,Negative,2,14993,,76271,,Find by Molecular Feature,,,,59,,,,,
